LocationID,Borough,Zone,service_zone,Latitude,Longitude
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.66655893903527,-73.89536411750328
78,Bronx,East Tremont,Boro Zone,40.84496041014611,-73.88552181587428
79,Manhattan,East Village,Yellow Zone,40.72762019590954,-73.98593745682462
80,Brooklyn,East Williamsburg,Boro Zone,40.71536988214351,-73.9367931449188
81,Bronx,Eastchester,Boro Zone,40.8809354114894,-73.83664334408301
82,Queens,Elmhurst,Boro Zone,40.73949564677815,-73.87711833280918
83,Queens,Elmhurst/Maspeth,Boro Zone,40.738323813826014,-73.89217338112859
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.52868644656622,-74.18767433468824
85,Brooklyn,Erasmus,Boro Zone,40.64611634689506,-73.95162318261006
86,Queens,Far Rockaway,Boro Zone,40.60243279341668,-73.75524369679584
87,Manhattan,Financial District North,Yellow Zone,40.70680845166581,-74.00749598562425
88,Manhattan,Financial District South,Yellow Zone,40.70335790323616,-74.01151502922319
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.63790012347375,-73.96096824906371
90,Manhattan,Flatiron,Yellow Zone,40.74227862901229,-73.99697141558367
91,Brooklyn,Flatlands,Boro Zone,40.62627276333637,-73.93009701219938
92,Queens,Flushing,Boro Zone,40.76110218983439,-73.82885869884265
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.74067587216067,-73.84086726234155
94,Bronx,Fordham South,Boro Zone,40.85815519618403,-73.89953593442145
95,Queens,Forest Hills,Boro Zone,40.72143227502132,-73.84766941187516
96,Queens,Forest Park/Highland Park,Boro Zone,40.69700061310117,-73.8715584251816
97,Brooklyn,Fort Greene,Boro Zone,40.69078679421089,-73.97488208618893
98,Queens,Fresh Meadows,Boro Zone,40.734462628200944,-73.77725346665981
99,Staten Island,Freshkills Park,Boro Zone,40.57677363548708,-74.18641851305908
100,Manhattan,Garment District,Yellow Zone,40.75351275872571,-73.9887865991153
101,Queens,Glen Oaks,Boro Zone,40.74599381838418,-73.71102598691232
102,Queens,Glendale,Boro Zone,40.70354561076292,-73.87573576709777
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.6898601036602,-74.04528829364003
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.69876867362614,-74.04077076873652
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.68878423861304,-74.0190727263684
106,Brooklyn,Gowanus,Boro Zone,40.67351279686076,-73.9906472736312
107,Manhattan,Gramercy,Yellow Zone,40.73682405761895,-73.9840521326891
108,Brooklyn,Gravesend,Boro Zone,40.58840346529031,-73.98143115020046
109,Staten Island,Great Kills,Boro Zone,40.55186299807705,-74.1508898076054
110,Staten Island,Great Kills Park,Boro Zone,40.54578031659564,-74.12834244237271
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.652137270419054,-73.99023450433016
112,Brooklyn,Greenpoint,Boro Zone,40.7295062842088,-73.94954030482205
113,Manhattan,Greenwich Village North,Yellow Zone,40.73257907302703,-73.99430477051166
114,Manhattan,Greenwich Village South,Yellow Zone,40.7283403913723,-73.99738026020042
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.61797137588928,-74.08783880974957
116,Manhattan,Hamilton Heights,Boro Zone,40.82701265492536,-73.94852173020874
117,Queens,Hammels/Arverne,Boro Zone,40.59405875281394,-73.7896220825008
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.58655462662628,-74.13297872511701
119,Bronx,Highbridge,Boro Zone,40.83782699169884,-73.92615723620794
120,Manhattan,Highbridge Park,Boro Zone,40.84666774830276,-73.9301821974283
121,Queens,Hillcrest/Pomonok,Boro Zone,40.72833332297312,-73.80244428186224
122,Queens,Hollis,Boro Zone,40.710639284251066,-73.761136997306
123,Brooklyn,Homecrest,Boro Zone,40.59995429251392,-73.964333671339
124,Queens,Howard Beach,Boro Zone,40.65824796123064,-73.8449185843855
125,Manhattan,Hudson Sq,Yellow Zone,40.726290410281216,-74.00748581800951
126,Bronx,Hunts Point,Boro Zone,40.81207445859208,-73.8855375214943
127,Manhattan,Inwood,Boro Zone,40.86607500072786,-73.91930823586209
128,Manhattan,Inwood Hill Park,Boro Zone,40.87237880957365,-73.9243698171611
129,Queens,Jackson Heights,Boro Zone,40.75731206303918,-73.8853172406108
130,Queens,Jamaica,Boro Zone,40.70436877745508,-73.79397965822713
131,Queens,Jamaica Estates,Boro Zone,40.72065523874959,-73.77610076139936
132,Queens,JFK Airport,Airports,40.64698489239528,-73.78653298335001
133,Brooklyn,Kensington,Boro Zone,40.640590070674506,-73.97619898951329
134,Queens,Kew Gardens,Boro Zone,40.70805099798806,-73.82871246597533
135,Queens,Kew Gardens Hills,Boro Zone,40.7283776832573,-73.8211959038747
136,Bronx,Kingsbridge Heights,Boro Zone,40.86526419152492,-73.90591118270507
137,Manhattan,Kips Bay,Yellow Zone,40.74043897859643,-73.97649472376759
138,Queens,LaGuardia Airport,Airports,40.77437570593244,-73.87362864289085
139,Queens,Laurelton,Boro Zone,40.677097797909006,-73.74423435166723
140,Manhattan,Lenox Hill East,Yellow Zone,40.76548408788984,-73.95473878380501
141,Manhattan,Lenox Hill West,Yellow Zone,40.76694821638321,-73.95963474149167
142,Manhattan,Lincoln Square East,Yellow Zone,40.77363329302708,-73.98153220639182
143,Manhattan,Lincoln Square West,Yellow Zone,40.77596522876101,-73.98764554944397
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.72088889344528,-73.99691854183824
145,Queens,Long Island City/Hunters Point,Boro Zone,40.74537943399848,-73.94889145447944
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.75424252050031,-73.93482888929141
147,Bronx,Longwood,Boro Zone,40.81967597930494,-73.89895638182651
148,Manhattan,Lower East Side,Yellow Zone,40.718938359380246,-73.99089626184728
149,Brooklyn,Madison,Boro Zone,40.6049135955638,-73.94813559494118
150,Brooklyn,Manhattan Beach,Boro Zone,40.580473274262125,-73.94362872180572
151,Manhattan,Manhattan Valley,Yellow Zone,40.79796199310006,-73.96816833309242
152,Manhattan,Manhattanville,Boro Zone,40.81797514762945,-73.95378223705627
153,Manhattan,Marble Hill,Boro Zone,40.87596780221242,-73.91037866410579
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.59357083658516,-73.9025965869309
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.61459098927573,-73.91527709386853
156,Staten Island,Mariners Harbor,Boro Zone,40.631307692853056,-74.16723534170745
157,Queens,Maspeth,Boro Zone,40.72399507493358,-73.90232968131379
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.735035400696674,-74.00898410478533
159,Bronx,Melrose South,Boro Zone,40.81825974768983,-73.9128493979915
160,Queens,Middle Village,Boro Zone,40.718336770013686,-73.88005140814946
161,Manhattan,Midtown Center,Yellow Zone,40.75802804352629,-73.97769793122407
162,Manhattan,Midtown East,Yellow Zone,40.75668765218882,-73.97235594352027
163,Manhattan,Midtown North,Yellow Zone,40.76442140578678,-73.97756868222714
164,Manhattan,Midtown South,Yellow Zone,40.748574629356725,-73.98515639467682
165,Brooklyn,Midwood,Boro Zone,40.62092404874625,-73.95682460583802
166,Manhattan,Morningside Heights,Boro Zone,40.80945696112528,-73.9617635968293
167,Bronx,Morrisania/Melrose,Boro Zone,40.82751255686397,-73.90235177500064
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.807347167665306,-73.91682193806467
169,Bronx,Mount Hope,Boro Zone,40.849058377391245,-73.90512221938542
170,Manhattan,Murray Hill,Yellow Zone,40.7477457936439,-73.97849159965229
171,Queens,Murray Hill-Queens,Boro Zone,40.76835162630844,-73.80954582099432
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.5717688929326,-74.10501900721482
173,Queens,North Corona,Boro Zone,40.7525792391496,-73.86303754486683
174,Bronx,Norwood,Boro Zone,40.877137602876566,-73.87902225226017
175,Queens,Oakland Gardens,Boro Zone,40.7426721034827,-73.75462173612384
176,Staten Island,Oakwood,Boro Zone,40.56199423458413,-74.1225840297696
177,Brooklyn,Ocean Hill,Boro Zone,40.67664410104016,-73.91363213611346
178,Brooklyn,Ocean Parkway South,Boro Zone,40.61731493715171,-73.97032580128304
179,Queens,Old Astoria,Boro Zone,40.77157024358339,-73.92833318686124
180,Queens,Ozone Park,Boro Zone,40.67559499070669,-73.84704317269401
181,Brooklyn,Park Slope,Boro Zone,40.67037432591724,-73.98141374048754
182,Bronx,Parkchester,Boro Zone,40.83774866435354,-73.85798694048579
183,Bronx,Pelham Bay,Boro Zone,40.8491726171826,-73.83158179959663
184,Bronx,Pelham Bay Park,Boro Zone,40.86827620354769,-73.80785726631254
185,Bronx,Pelham Parkway,Boro Zone,40.85440471268922,-73.85439380221172
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.74849718140501,-73.9924375369761
187,Staten Island,Port Richmond,Boro Zone,40.62816687457197,-74.14078750231761
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.65874445085672,-73.94744164500473
189,Brooklyn,Prospect Heights,Boro Zone,40.67763538934729,-73.96758681222951
190,Brooklyn,Prospect Park,Boro Zone,40.66162215835685,-73.9689137427063
191,Queens,Queens Village,Boro Zone,40.71545451530522,-73.7415317699754
192,Queens,Queensboro Hill,Boro Zone,40.74375148543156,-73.81522935845766
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.76031363502696,-73.94199705818417
194,Manhattan,Randalls Island,Yellow Zone,40.79100078171125,-73.92459630024565
195,Brooklyn,Red Hook,Boro Zone,40.67554886228092,-74.00917849113321
196,Queens,Rego Park,Boro Zone,40.72615563957921,-73.86333855806276
197,Queens,Richmond Hill,Boro Zone,40.69454235438128,-73.83092407449993
198,Queens,Ridgewood,Boro Zone,40.70652679441958,-73.90170926444722
199,Bronx,Rikers Island,Boro Zone,40.79113290307751,-73.88265824700589
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.89952906437648,-73.90698710771424
201,Queens,Rockaway Park,Boro Zone,40.57798249377503,-73.84345281477815
202,Manhattan,Roosevelt Island,Boro Zone,40.76189974995508,-73.94995171169583
203,Queens,Rosedale,Boro Zone,40.65785341801941,-73.739472559873
204,Staten Island,Rossville/Woodrow,Boro Zone,40.54033400529606,-74.20782608356556
205,Queens,Saint Albans,Boro Zone,40.69120144680615,-73.76314612543833
206,Staten Island,Saint George/New Brighton,Boro Zone,40.638972205166525,-74.10231250352737
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.76398558883052,-73.89935256434534
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.82331858387752,-73.82354011891928
209,Manhattan,Seaport,Yellow Zone,40.70907274279308,-74.00366456329895
210,Brooklyn,Sheepshead Bay,Boro Zone,40.5920234643643,-73.94050716694059
211,Manhattan,SoHo,Yellow Zone,40.72388811004175,-74.00153756565635
212,Bronx,Soundview/Bruckner,Boro Zone,40.82790214858739,-73.86967965711672
213,Bronx,Soundview/Castle Hill,Boro Zone,40.817858557708114,-73.85813498781425
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.58678663305195,-74.08551235826931
215,Queens,South Jamaica,Boro Zone,40.69442755408878,-73.79096393223053
216,Queens,South Ozone Park,Boro Zone,40.676154037213855,-73.81945963682767
217,Brooklyn,South Williamsburg,Boro Zone,40.70391644046577,-73.95859684507167
218,Queens,Springfield Gardens North,Boro Zone,40.67208970676735,-73.77303565610488
219,Queens,Springfield Gardens South,Boro Zone,40.66218488071144,-73.76450578558232
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.8824031132092,-73.9106646756443
221,Staten Island,Stapleton,Boro Zone,40.618769278732046,-74.07370444530247
222,Brooklyn,Starrett City,Boro Zone,40.64752703432357,-73.88241292571807
223,Queens,Steinway,Boro Zone,40.777426920532754,-73.9054077340983
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.73182063601678,-73.97659767323344
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.68816818695491,-73.93188826440705
226,Queens,Sunnyside,Boro Zone,40.73769895644441,-73.92467306585057
227,Brooklyn,Sunset Park East,Boro Zone,40.64188631576521,-74.00465205914726
228,Brooklyn,Sunset Park West,Boro Zone,40.65235464953844,-74.01127116962897
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.75672894163307,-73.96514579918423
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.75981761719186,-73.9841964890757
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.717772736265175,-74.00787970866406
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.71473250693941,-73.9830245583349
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.74991407790216,-73.97044256869239
234,Manhattan,Union Sq,Yellow Zone,40.74033744175701,-73.99045782354736
235,Bronx,University Heights/Morris Heights,Boro Zone,40.85252114926356,-73.91597542466452
236,Manhattan,Upper East Side North,Yellow Zone,40.78043643718996,-73.95701169835736
237,Manhattan,Upper East Side South,Yellow Zone,40.76861518381157,-73.96563453538069
238,Manhattan,Upper West Side North,Yellow Zone,40.79170493442707,-73.97304890061592
239,Manhattan,Upper West Side South,Yellow Zone,40.78396143031379,-73.97863194845084
240,Bronx,Van Cortlandt Park,Boro Zone,40.89459912750701,-73.88197807761941
241,Bronx,Van Cortlandt Village,Boro Zone,40.87651237544554,-73.89562001785482
242,Bronx,Van Nest/Morris Park,Boro Zone,40.846782895809845,-73.8506705770834
243,Manhattan,Washington Heights North,Boro Zone,40.8571082833144,-73.93283148761299
244,Manhattan,Washington Heights South,Boro Zone,40.84170877111965,-73.94139910573635
245,Staten Island,West Brighton,Boro Zone,40.630049391830696,-74.1028601101664
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.753309065983466,-74.00401512528673
247,Bronx,West Concourse,Boro Zone,40.82898823048454,-73.92440873264246
248,Bronx,West Farms/Bronx River,Boro Zone,40.83416531682762,-73.87228927297005
249,Manhattan,West Village,Yellow Zone,40.73457600733173,-74.00287495910837
250,Bronx,Westchester Village/Unionport,Boro Zone,40.832101659632144,-73.84864070062375
251,Staten Island,Westerleigh,Boro Zone,40.61688000771181,-74.12534779829352
252,Queens,Whitestone,Boro Zone,40.78819301672888,-73.81565681271
253,Queens,Willets Point,Boro Zone,40.76063075217259,-73.84124393899134
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.88215708304706,-73.85894823975754
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.718803918129936,-73.95741813122196
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.71087993337741,-73.95990462730529
257,Brooklyn,Windsor Terrace,Boro Zone,40.65361187133661,-73.97798241330014
258,Queens,Woodhaven,Boro Zone,40.68872135698131,-73.85576675985426
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.8979320252947,-73.85221545370119
260,Queens,Woodside,Boro Zone,40.7442347178015,-73.90630644197881
261,Manhattan,World Trade Center,Yellow Zone,40.709138940671856,-74.01302277174898
262,Manhattan,Yorkville East,Yellow Zone,40.775932403149966,-73.94651035601466
263,Manhattan,Yorkville West,Yellow Zone,40.77876585543438,-73.951009874818
